vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,custom_wait_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,completed_trip,trip_status
37,3.0,79.0,76.0,0.0,0.0,7.412,,,0.0,True,completed
0,1.0,82.0,81.0,0.0,0.0,4.659,,,0.0,True,completed
38,3.0,83.0,80.0,0.0,0.0,6.661,,,0.0,True,completed
85,61.0,153.0,92.0,0.0,0.0,8.87,,,0.0,True,completed
147,67.0,155.0,88.0,0.0,0.0,6.577,,,0.0,True,completed
110,63.0,156.0,93.0,0.0,0.0,5.806,,,0.0,True,completed
148,65.0,165.0,100.0,2.0,2.0,15.653,,,0.02,True,completed
17,1.0,175.0,174.0,12.0,12.0,30.163,,,0.069,True,completed
204,100.0,181.0,81.0,0.0,0.0,4.435,,,0.0,True,completed
177,82.0,182.0,100.0,12.0,12.0,20.852,,,0.12,True,completed
62,40.0,183.0,143.0,21.0,21.0,36.16,,,0.1469,True,completed
69,47.0,185.0,138.0,17.0,17.0,31.748,,,0.1232,True,completed
51,18.0,189.0,171.0,19.0,19.0,31.907,,,0.1111,True,completed
15,1.0,190.0,189.0,7.0,24.0,43.291,,,0.127,True,completed
231,115.0,190.0,75.0,0.0,0.0,4.132,,,0.0,True,completed
238,116.0,194.0,78.0,0.0,0.0,4.157,,,0.0,True,completed
125,63.0,201.0,138.0,0.0,0.0,20.371,,,0.0,True,completed
174,81.0,201.0,120.0,0.0,0.0,6.933,,,0.0,True,completed
12,1.0,202.0,201.0,32.0,32.0,47.943,,,0.1592,True,completed
87,61.0,202.0,141.0,0.0,0.0,10.689,,,0.0,True,completed
60,29.0,203.0,174.0,1.0,4.0,25.256,,,0.023,True,completed
88,61.0,204.0,143.0,0.0,0.0,8.438,,,0.0,True,completed
179,84.0,205.0,121.0,7.0,7.0,19.411,,,0.0579,True,completed
13,1.0,206.0,205.0,0.0,0.0,15.052,,,0.0,True,completed
35,1.0,211.0,210.0,0.0,0.0,25.302,,,0.0,True,completed
41,4.0,214.0,210.0,0.0,0.0,14.855,,,0.0,True,completed
