vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,custom_wait_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,completed_trip,trip_status
124779_406_0,25206.0,25218.0,12.0,0.0,0.0,2.337,,,0.0,True,completed
98305_395_0,25212.0,25223.0,11.0,0.0,0.0,0.701,,,0.0,True,completed
102535_396_0,25219.0,25232.0,13.0,0.0,0.0,0.749,,,0.0,True,completed
147209_416_0,25221.0,25234.0,13.0,0.0,0.0,0.975,,,0.0,True,completed
123965_406_0,25219.0,25250.0,31.0,0.0,0.0,1.335,,,0.0,True,completed
160150_421_0,25221.0,25252.0,31.0,0.0,0.0,1.608,,,0.0,True,completed
91582_392_0,25219.0,25254.0,35.0,0.0,0.0,4.596,,,0.0,True,completed
102501_396_0,25245.0,25258.0,13.0,0.0,0.0,2.052,,,0.0,True,completed
121258_405_0,25241.0,25262.0,21.0,1.0,1.0,10.589,,,0.0476,True,completed
126742_407_0,25243.0,25262.0,19.0,0.0,0.0,7.991,,,0.0,True,completed
120663_405_0,25247.0,25263.0,16.0,0.0,0.0,6.25,,,0.0,True,completed
113509_402_0,25249.0,25265.0,16.0,0.0,0.0,4.873,,,0.0,True,completed
130147_409_0,25252.0,25265.0,13.0,0.0,0.0,1.261,,,0.0,True,completed
102630_396_0,25253.0,25267.0,14.0,0.0,0.0,1.254,,,0.0,True,completed
122194_406_0,25256.0,25268.0,12.0,0.0,0.0,0.758,,,0.0,True,completed
122376_406_0,25255.0,25268.0,13.0,0.0,0.0,1.185,,,0.0,True,completed
135103_411_0,25257.0,25269.0,12.0,0.0,0.0,2.603,,,0.0,True,completed
152958_419_0,25258.0,25270.0,12.0,0.0,0.0,1.221,,,0.0,True,completed
125613_406_0,25260.0,25272.0,12.0,0.0,0.0,0.689,,,0.0,True,completed
133955_411_0,25262.0,25274.0,12.0,0.0,0.0,0.416,,,0.0,True,completed
129253_408_0,25264.0,25277.0,13.0,0.0,0.0,0.365,,,0.0,True,completed
135201_411_0,25265.0,25278.0,13.0,0.0,0.0,0.759,,,0.0,True,completed
134807_411_0,25263.0,25279.0,16.0,0.0,0.0,3.595,,,0.0,True,completed
86189_391_0,25267.0,25279.0,12.0,0.0,0.0,0.684,,,0.0,True,completed
120275_405_0,25266.0,25280.0,14.0,0.0,0.0,0.374,,,0.0,True,completed
57065_374_0,25268.0,25281.0,13.0,0.0,0.0,3.229,,,0.0,True,completed
82015_389_0,25269.0,25281.0,12.0,0.0,0.0,2.095,,,0.0,True,completed
136204_411_0,25270.0,25282.0,12.0,0.0,0.0,1.155,,,0.0,True,completed
129519_408_0,25270.0,25283.0,13.0,0.0,0.0,0.974,,,0.0,True,completed
135431_411_0,25272.0,25283.0,11.0,0.0,0.0,1.96,,,0.0,True,completed
146814_416_0,25272.0,25284.0,12.0,0.0,0.0,1.144,,,0.0,True,completed
125316_406_0,25273.0,25285.0,12.0,0.0,0.0,1.179,,,0.0,True,completed
118286_405_0,25274.0,25286.0,12.0,0.0,0.0,2.463,,,0.0,True,completed
134435_411_0,25275.0,25287.0,12.0,0.0,0.0,2.247,,,0.0,True,completed
108236_400_0,25277.0,25289.0,12.0,0.0,0.0,0.29,,,0.0,True,completed
146536_416_0,25277.0,25289.0,12.0,0.0,0.0,0.338,,,0.0,True,completed
110905_401_0,25279.0,25290.0,11.0,0.0,0.0,1.079,,,0.0,True,completed
118931_405_0,25279.0,25291.0,12.0,0.0,0.0,1.222,,,0.0,True,completed
94647_393_0,25281.0,25292.0,11.0,0.0,0.0,0.632,,,0.0,True,completed
157203_421_0,25281.0,25294.0,13.0,0.0,0.0,0.374,,,0.0,True,completed
139731_413_0,25283.0,25296.0,13.0,0.0,0.0,0.48,,,0.0,True,completed
148629_417_0,25285.0,25296.0,11.0,0.0,0.0,0.459,,,0.0,True,completed
151372_418_0,25208.0,25301.0,93.0,50.0,50.0,64.301,,,0.5376,True,completed
149029_417_0,25237.0,25302.0,65.0,38.0,38.0,53.145,,,0.5846,True,completed
115444_403_0,25295.0,25306.0,11.0,0.0,0.0,0.776,,,0.0,True,completed
130602_409_0,25269.0,25309.0,40.0,6.0,6.0,12.992,,,0.15,True,completed
162814_422_0,25234.0,25310.0,76.0,37.0,37.0,43.071,,,0.4868,True,completed
128446_408_0,25274.0,25312.0,38.0,0.0,0.0,5.747,,,0.0,True,completed
